GDP,Debt,CPI,Import,Inflation,Employment Population,Unmployment Population,Infant Mortality,Life Expectancy,Engaged Employees,Private Final Consumption Expenditure,Government Lending and Borrrowing
9837715521096.719,55.0042464956842,0.7433255882836145,0.3179783747670005,4.0094359104519,52.756,13.501,66.7,62.669,409.24859619140625,5766111190407.423,-8.264
10240092843296.227,59.0179097968845,1.1779095258599195,-1.1788057765091924,3.77929312235641,52.18,13.798,64.4,63.091,419.76202392578125,6091632664042.585,-10.843
10700591627425.549,62.5527712950592,0.8981954504487512,6.12913261922275,4.29715203929562,51.628,14.048,62.1,63.616,430.7332763671875,6294045046706.19,-10.881
11449591409130.5,62.1900538962691,0.832551975572136,7.709286541497905,3.80585899528852,51.014,14.424,59.9,64.094,442.3812255859375,6630703928365.186,-11.231
12418251530943.574,62.5929767433885,1.0315252841328275,8.349340829187202,3.7672517347751,50.449,14.705,57.8,64.524,454.54498291015625,6895978062217.155,-9.062
13533597830043.625,62.2265261005164,1.2368252639225228,5.99992870602504,4.24634362031927,49.886,14.991,55.7,64.996,457.6380615234375,7447763172512.787,-7.368
14798671849073.55,59.6667302759413,1.5839516241453344,8.680043212210919,5.79652337561635,49.944,15.742,53.6,65.412,457.9736633300781,8074766930032.277,-6.321
16290023031971.65,57.4975363893642,1.35469252544283,7.119318569660852,6.37288135593229,50.009,16.495,51.5,65.788,459.0289001464844,8796538806019.047,-4.505
17265227860554.574,57.2922142809949,2.46371395238498,4.146793568866349,8.34926704907581,50.125,17.143,49.3,66.149,460.81292724609375,9535027757199.572,-8.982
18152139252208.3,55.2564461120573,3.2028335895845337,5.407854764646415,10.8823529411765,50.125,18.098,47.2,66.513,463.6325988769531,10206005495030.207,-9.534
20181012514862.273,51.5919103004572,2.2213397393004293,4.206683697727075,11.9893899204243,50.177,18.959,45.1,66.909,467.4125061035156,11013604414894.5,-8.626
21612762377246.6,51.5565536600977,2.0421457277096566,7.1941678202064905,8.9117933648337,49.659,19.681,42.9,67.359,472.2144775390625,12017979403751.55,-8.349
22706639070126.9,50.6780305516006,2.441826757480463,1.5685231245369526,9.47899691419793,49.096,20.549,40.9,67.887,469.8310852050781,12788216116261.975,-7.55
24119866408973.555,50.3118273627008,2.5415509786261574,-3.9169595974008025,10.0178784746103,48.231,21.459,38.8,68.46,483.8543395996094,13640227996273.375,-7.0
25846632490395.773,49.9009248748319,1.2400084537577707,2.1879581762842992,6.665656718679,47.362,22.409,36.9,69.074,483.0845947265625,14527403516972.975,-7.071
27801855440344.2,49.9647183856551,1.5793302384659276,-4.951999175413078,4.90697344127254,46.495,23.374,35.0,69.636,482.7004699707031,15616252934813.25,-7.205
30300817434113.2,47.6337555915272,0.6818530934631437,2.39047757203993,4.94821634062142,45.631,24.358,33.2,70.117,482.989013671875,17018507371477.375,-7.12
32237975402362.3,47.5836093800197,0.9279176668095067,4.39128569026757,3.32817337461301,44.783,25.304,31.5,70.467,487.19097900390625,17988108757778.926,-6.227
34532226917958.25,46.5224986659322,1.2664854274920316,1.8437519008361924,3.93882646691634,43.922,26.353,29.8,70.71,491.07720947265625,19310220021735.1,-6.376
36134078057000.15,,2.08843057189311,-2.770462519796612,3.72950573539126,46.137,22.885,28.3,70.91,497.61572265625,20520174849510.926,-7.694
34008253297779.5,,1.2194691680807717,5.25026943654422,6.62343677628532,43.253,30.896,26.8,70.15,,19207006932078.4,-12.88
36976011463973.2,,1.224215394364341,11.317921203491345,5.13140747176369,44.794,23.893,25.5,67.24,,21501814271062.875,-9.646
39409636338659.7,,1.3912336800259846,1.627711487117415,6.6990341407985,45.859,23.224,,,,23235076978000.227,
41060369371197.4,,0.377548452051355,-3.50533251637019,,,,,,,23724075555183.098,
