"date","FDI Current Exp","GDP Per Capita Growth","Government Final Consumption Expenditure","Imports of Goods and Services","Inflation (Consumer Prices)","Real Interest Rate","Central Government Debt","Unemployement","Military Expenditure"
"2022",3.8173e+10,1.67697129735933,NA,NA,8.00279982052117,NA,115.59758784418,3.611,3.45491979773439
"2021",-9.9015e+10,5.77954841835778,14.3843852109769,10.8927266773296,4.69785886363739,-1.18935690125342,120.363367082443,5.35,3.45797721923449
"2020",1.48299e+11,-3.70095252825833,14.9017351540602,10.2021257426695,1.23358439630637,2.2104106796787,126.243594937905,8.05,3.6960098282307
"2019",-2.01057e+11,1.82966838809384,14.0722246882184,11.8724701148898,1.81221007526015,3.42708988830508,100.805042202199,3.67,3.43456772038844
"2018",-3.45435e+11,2.40486787201,13.9625188613509,12.3609892157496,2.44258329692818,2.44141502630097,99.0609761173397,3.9,3.32386640421184
"2017",2.859e+10,1.59713559028371,13.998628576041,12.2617381180006,2.13011000365963,2.15609905051382,97.6929363628875,4.36,3.32054091174119
"2016",-1.74573e+11,0.933375361665711,14.2449436246033,11.9395387321555,1.26158320570537,2.48453034184575,98.5041017174837,4.87,3.42258797486987
"2015",-2.09363e+11,1.95300411790625,14.3303308126227,12.4609931641514,0.118627135552435,2.23707549539748,96.4252279492666,5.28,3.48142821522778
"2014",1.35673e+11,1.54038064866397,14.6219632205577,13.5459593384987,1.62222297740821,1.35477579214004,95.7666986884038,6.17,3.69096076109336
"2013",1.04665e+11,1.13869234666606,15.0366162863828,13.5780743740926,1.46483265562714,1.47325427864866,95.5346882113219,7.37,4.03266107017529
"2012",1.26895e+11,1.53310203539129,15.4758416244692,13.6440493967794,2.06933726526059,1.35407520046539,93.6492617595668,8.07,4.4617099699335
"2011",1.73119e+11,0.814519357932042,16.098427999507,13.5634671535102,3.15684156862206,1.14842519072757,89.5468170333317,8.95,4.82244188326366
"2010",8.5789e+10,1.86029167805893,16.6858391442419,12.3413608086534,1.64004344238989,2.02388548830537,84.9644109904045,9.63,4.90402333182935
"2009",1.51514e+11,-3.45001592321435,16.8076950275681,10.9322206193664,-0.35554626629975,2.59242897114548,75.8420482989664,9.25,4.87576835879774
"2008",2.491e+09,-0.820367898524154,15.9340733958399,12.4258473646734,3.83910029665101,3.10992082507062,63.8151298190915,5.78,4.44659552156261
"2007",1.77277e+11,1.04493013677586,15.1892879283282,11.4637901622698,2.85267248150136,5.20675937563525,55.6599261078117,4.62,4.07335051467688
"2006",-1.4662e+10,1.79648632582968,15.0044511883738,10.641386468295,3.22594410070407,4.7260896527078,55.4673357624473,4.62,4.04134230166038
"2005",-8.9753e+10,2.53378411366741,15.047143394,9.98205473154167,3.39274684549547,2.96050632995504,56.5388479068386,5.08,4.08923187524508
"2004",1.60363e+11,2.89584777850045,15.158309850606,9.62875008142275,2.67723669309173,1.61231095358931,56.6622864008834,5.53,4.01631273640692
"2003",7.8112e+10,1.91648045091225,15.2436331781727,9.03565868264667,2.27009497336113,2.10731081134663,56.2504045927814,5.99,3.82716104473623
"2002",6.793e+10,0.756774050858581,15.0590355024837,9.131381513844,1.58603162650603,3.06864284890227,53.8625140415158,5.78,3.44761809928778
"2001",-2.6455e+10,-0.0399197287893003,14.5356379493206,9.70344749898923,2.82617111885402,4.56584792926521,52.4436763286348,4.73,3.12380980266703
"2000",-1.62755e+11,2.92544098347776,14.0239517400802,10.6927769053241,3.37685727149935,6.81342428762499,33.2676548646821,3.99,3.11224214697679
"1999",-6.4964e+10,3.59798501816873,14.0317985261662,10.309334558667,2.18802719697358,6.49342641808183,37.7272782686058,4.22,3.08567678324746
"1998",-3.639e+10,3.27051107297336,13.9868964790694,10.5152611335588,1.55227909874362,7.14817844771795,41.1291489790385,4.51,3.20155849896996
"1997",-7.7e+08,3.1972120547039,14.2293238255567,11.1197545265553,2.33768993730741,6.60336486127733,44.1174698332784,5,3.40556224418855
"1996",5.36e+09,2.57225920399024,14.5283200229106,10.7466355642836,2.9312041999344,6.32407370665147,46.7417685500108,5.45,3.55498220635218
"1995",4.098e+10,1.46871823407399,14.9447710913016,10.639223880261,2.80541968853655,6.59399638000372,47.2095352870886,5.65,3.8602457917389
"1994",3.405e+10,2.76088229716902,15.2060534337024,9.89314741556332,2.6074415921546,4.89830995092016,47.3534821707435,6.12,4.2152646751779
"1993",3.257e+10,1.40570856500528,15.6452689260237,9.54718039168286,2.95165696638554,3.54561723851719,48.2461403335599,6.9,4.60435029507644
"1992",2.846e+10,2.09661276602233,16.0786874646011,9.70891490564814,3.0288196781497,3.8842380429646,46.0501444176036,7.5,4.97046680768284
"1991",1.472e+10,-1.43420012525736,16.3175698333049,9.66090512231881,4.23496396453853,4.91534647819152,44.0615972806026,6.8,4.88342939776313
"1990",-1.129e+10,0.74148609960973,15.9007731491978,9.25473206751338,5.39795643990322,6.03974919919863,40.933943570707,NA,5.60517529438794
"1989",-2.48e+10,2.69816667236526,15.6237968795976,8.93879019707245,4.82700303008949,6.69068692475134,39.128400199944,NA,5.87120600804653
"1988",-3.5209e+10,3.23541610899424,15.6681698513379,8.49052351999585,4.07774110744408,5.59038220100548,NA,NA,6.0712777020948
"1987",-2.3438e+10,2.53862353656405,16.0012069496407,7.49591933621889,3.66456321751691,5.59223790559199,NA,NA,6.42027402288488
"1986",-1.1422e+10,2.51088596744542,16.1145952588757,7.00925467575881,1.89804772234275,6.1938602652141,NA,NA,6.62652265789842
"1985",-5.95e+09,3.25065642338708,15.9171086101131,6.98807253964585,3.54564415209369,6.56332656866071,NA,NA,6.4532192046686
"1984",-1.241e+10,6.31216765588185,15.7203773615748,7.48907832424752,4.30053547523427,8.14108811145525,NA,NA,6.23641652963897
"1983",-2.73e+09,3.631979295881,16.3837857501765,7.62226481946529,3.21243523316063,6.61816021851611,NA,NA,6.32114425976717
"1982",-1.3456e+10,-2.73456973098722,16.5838514332094,8.46973298853486,6.13142700027494,8.1773474356199,NA,NA,6.81405709441284
"1981",-1.557e+10,1.53632028085542,15.8102437729982,9.51777666702733,10.3347153402771,8.59461979779302,NA,NA,5.64654125624258
"1980",2.3e+09,-1.20929826319077,15.876837875664,9.82645547013324,13.5492019749684,5.71639048270723,NA,NA,5.15353746651636
"1979",1.667e+10,2.03388706463849,15.4036431620963,8.75903435156488,11.2544711292795,4.03454768984954,NA,NA,4.95199153527265
"1978",8.87e+09,4.42298460692567,15.7667187305319,7.947060702101,7.63096383885602,1.88990329029697,NA,NA,4.94308724791688
"1977",8.36e+09,3.57714670648173,16.3879690233478,7.6542900319239,6.50168399472839,0.575068853397407,NA,NA,5.15561735127125
"1976",8.41e+09,4.39146286737468,16.7879782984202,7.9808926173207,5.74481263549085,1.26689165138414,NA,NA,5.19107142902555
"1975",1.142e+10,-1.18458141215473,17.6107956298994,8.23227910907684,9.14314686496534,-1.28141917171203,NA,NA,5.62267909613336
"1974",1.62e+09,-1.44513434368933,17.1626727964469,8.19612190445127,11.0548048048048,1.65106446946877,NA,NA,5.95411119676015
"1973",7.41e+09,4.64215574445912,16.7762751723054,6.6837802797297,6.17776006377041,2.40973532704246,NA,NA,5.8938705911674
